topic,length_chars,length_words,quality_score,sentiment,source_detail,plagiarism_score,notes,text_cleaned,text_cleaned_lower,ai_pattern_count,text_cleaned_lem,creation_year,creation_month,creation_dayofweek,label_encoded,avg_word_length,lexical_diversity,punctuation_density,exclamation_count,question_count,hedge_words_count,intensifier_count,first_person_count,sentence_count,type_token_ratio,avg_sentence_length,readability_score,grade_level,entity_density,person_entity_count,org_entity_count,location_entity_count,total_entities,passive_voice_ratio,unique_bigram_ratio,sentence_length_variability,contraction_density,leakage_flag
Sports,84,14.0,2.51,-0.33,Author_1,0.336,no_tone,My personal opinion on sports is that it requires more data for conclusive evidence.,my personal opinion on sports is that it requires more data for conclusive evidence.,0,personal opinion sport require datum conclusive evidence .,2025,7,2,0,5.071428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,41.553571428571445,10.941428571428574,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,False
Finance,99,13.0,4.72,-0.53,Author_37,0.056,personal_tone,"After trying several approaches related to finance, I noticed it improves efficiency significantly.","after trying several approaches related to finance, i noticed it improves efficiency significantly.",0,"try approach relate finance , notice improve efficiency significantly .",2024,3,5,0,6.6923076923076925,1.0,0.07692307692307693,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,0.0,16.710769230769234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Health,78,13.0,3.54,-0.08,Author_25,0.079,no_tone,My personal opinion on health is that privacy concerns remain a top challenge.,my personal opinion on health is that privacy concerns remain a top challenge.,0,personal opinion health privacy concern remain challenge .,2025,4,1,0,5.076923076923077,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,50.470769230769264,9.44923076923077,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,True
Sports,74,12.0,3.07,-0.08,Author_16,0.154,personal_tone,"sports, I believe there are tradeoffs to consider.","sports, i believe there are tradeoffs to consider.",0,"sport , believe tradeoff consider .",2025,4,2,0,5.375,1.0,0.125,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12.0,71.81500000000001,5.230000000000004,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,False
Food,79,12.0,3.82,-0.0,Gpt-4O-Mini,0.037,no_tone,A concise overview of food costs can vary greatly depending on implementation.,a concise overview of food costs can vary greatly depending on implementation.,0,concise overview food cost vary greatly depend implementation .,2024,10,6,1,5.583333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,32.504999999999995,11.706666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Food,108,18.0,3.2,0.4,Author_77,0.138,personal_tone,food in my daytoday life and found that it can be optimized with simple heuristics.,food in my daytoday life and found that it can be optimized with simple heuristics.,0,food daytoday life find optimize simple heuristic .,2023,2,3,0,4.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,67.53000000000003,7.566666666666666,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,0.0,0.0,False
Technology,113,16.0,1.5,0.84,Author_39,0.309,no_tone,", technology often leads to there are tradeoffs to consider. Further investigation is warranted.",", technology often leads to there are tradeoffs to consider. further investigation is warranted.",0,", technology lead tradeoff consider . investigation warrant .",2023,7,3,0,5.928571428571429,0.9285714285714286,0.07142857142857142,0.0,0.0,1.0,0.0,0.0,2.0,0.9285714285714286,8.0,24.529807692307713,11.45269230769231,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,3.0,0.0,False
Education,94,14.0,4.55,0.28,Author_34,0.057,no_tone,", education often leads to costs can vary greatly depending on implementation.",", education often leads to costs can vary greatly depending on implementation.",0,", education lead cost vary greatly depend implementation .",2023,12,0,0,5.583333333333333,1.0,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,18.77909090909094,13.372727272727271,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Food,130,20.0,4.4,-0.45,Claude-2,0.065,no_tone,food and highlights that there are tradeoffs to consider. This could change as new data becomes available.,food and highlights that there are tradeoffs to consider. this could change as new data becomes available.,1,food highlight tradeoff consider . change new datum available .,2023,3,4,1,5.294117647058823,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,10.0,68.81926470588238,5.772058823529413,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,1.0,0.5,0.0,True
Science,143,22.0,2.43,0.58,Author_8,0.051,personal_tone,science in my daytoday life and found that there are tradeoffs to consider. the results are promising but preliminary,science in my daytoday life and found that there are tradeoffs to consider. the results are promising but preliminary,0,science daytoday life find tradeoff consider . result promise preliminary,2023,10,5,0,5.2105263157894735,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9473684210526315,11.0,54.70828947368423,7.988684210526319,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,1.0,3.5,0.0,False
Lifestyle,83,12.0,2.7,0.89,Bloomz-7B,0.014,no_tone,lifestyle shows the results are promising but preliminary.,lifestyle shows the results are promising but preliminary.,1,lifestyle show result promise preliminary .,2024,10,6,1,6.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,29.515000000000015,11.130000000000003,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,False
Technology,170,25.0,4.1,0.19,Author_100,0.167,personal_tone,"technology, I believe costs can vary greatly depending on implementation. it improves efficiency significantly users report a mixed set of outcomes","technology, i believe costs can vary greatly depending on implementation. it improves efficiency significantly users report a mixed set of outcomes",0,"technology , believe cost vary greatly depend implementation . improve efficiency significantly user report mixed set outcome",2025,2,6,0,6.0476190476190474,1.0,0.047619047619047616,0.0,0.0,0.0,1.0,1.0,2.0,1.0,12.5,18.920357142857142,13.228809523809524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,False
Lifestyle,138,20.0,2.08,0.06,Author_31,0.237,personal_tone,"lifestyle, I believe it can be optimized with simple heuristics. will shape future developments.","lifestyle, i believe it can be optimized with simple heuristics. will shape future developments.",0,"lifestyle , believe optimize simple heuristic . shape future development .",2024,2,6,0,5.928571428571429,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,2.0,1.0,10.0,48.65857142857146,8.211428571428574,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,3.0,0.0,False
Education,143,20.0,3.64,0.88,Author_71,0.003,no_tone,My personal opinion on education is that costs can vary greatly depending on implementation. will shape future developments.,my personal opinion on education is that costs can vary greatly depending on implementation. will shape future developments.,0,personal opinion education cost vary greatly depend implementation . shape future development .,2024,10,3,0,5.944444444444445,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9444444444444444,10.0,23.80000000000004,12.175555555555558,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,1.0,5.0,0.0,False
Entertainment,154,20.0,3.88,0.28,Gpt-4O-Mini,0.106,no_tone,A concise overview of entertainment privacy concerns remain a top challenge. Further investigation is warranted. adoption increases with better education,a concise overview of entertainment privacy concerns remain a top challenge. further investigation is warranted. adoption increases with better education,0,concise overview entertainment privacy concern remain challenge . investigation warrant . adoption increase well education,2023,1,6,1,6.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.666666666666667,5.488333333333344,14.150000000000002,0.0,0.0,0.0,0.0,0.0,0.05,1.0,3.0912061651652345,0.0,True
Lifestyle,213,30.5,3.16,-0.48,Gpt-5-Base,0.083,no_tone,lifestyle is associated with it can be optimized with simple heuristics. there are tradeoffs to consider the results are promising but preliminary the results are promising but preliminary,lifestyle is associated with it can be optimized with simple heuristics. there are tradeoffs to consider the results are promising but preliminary the results are promising but preliminary,1,lifestyle associate optimize simple heuristic . tradeoff consider result promise preliminary result promising preliminary,2023,9,6,1,5.75,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7142857142857143,15.25,26.446428571428584,13.048571428571432,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.8148148148148148,3.0,0.0,False
Science,95,14.0,4.44,0.71,Author_17,0.034,no_tone,My personal opinion on science is that the community response has been overwhelmingly positive.,my personal opinion on science is that the community response has been overwhelmingly positive.,1,personal opinion science community response overwhelmingly positive .,2023,7,2,0,5.857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,17.382142857142867,14.312857142857148,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,False
Technology,138,19.0,4.17,0.88,Bloomz-7B,0.143,no_tone,technology shows privacy concerns remain a top challenge. the community response has been overwhelmingly positive,technology shows privacy concerns remain a top challenge. the community response has been overwhelmingly positive,2,technology show privacy concern remain challenge . community response overwhelmingly positive,2024,9,6,1,6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.5,13.102499999999992,13.295000000000005,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,0.5,0.0,True
Lifestyle,74,11.0,2.78,0.41,Bloomz-7B,0.089,no_tone,lifestyle shows there are tradeoffs to consider.,lifestyle shows there are tradeoffs to consider.,1,lifestyle show tradeoff consider .,2024,5,6,1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,66.7871428571429,5.682857142857145,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,False
Health,160,22.0,4.41,0.87,Author_48,0.288,personal_tone,health in my daytoday life and found that the community response has been overwhelmingly positive. it improves efficiency significantly,health in my daytoday life and found that the community response has been overwhelmingly positive. it improves efficiency significantly,1,health daytoday life find community response overwhelmingly positive . improve efficiency significantly,2023,5,6,0,6.157894736842105,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,11.0,23.53986842105263,12.336052631578948,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,1.0,5.5,0.0,False
Science,149,24.0,3.29,-0.3,Author_51,0.188,personal_tone,"After trying several approaches related to science, I noticed privacy concerns remain a top challenge. I would love to hear others thoughts on this.","after trying several approaches related to science, i noticed privacy concerns remain a top challenge. i would love to hear others thoughts on this.",0,"try approach relate science , notice privacy concern remain challenge . love hear thought .",2025,4,0,0,5.208333333333333,0.9166666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,2.0,2.0,0.9166666666666666,12.0,57.18000000000001,8.265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,True
Technology,77,12.0,3.26,0.74,Author_82,0.242,no_tone,", technology often leads to there are tradeoffs to consider.",", technology often leads to there are tradeoffs to consider.",0,", technology lead tradeoff consider .",2024,12,5,0,5.1,0.9,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.9,12.0,47.30000000000004,8.89777777777778,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,False
Sports,83,10.0,3.58,0.59,Claude-2,0.098,no_tone,Researchstyle summary on sports suggests adoption increases with better education.,researchstyle summary on sports suggests adoption increases with better education.,0,researchstyle summary sport suggest adoption increase well education .,2023,4,4,1,7.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,2.105000000000018,15.45,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False
Travel,128,17.0,2.25,-0.27,Author_53,0.094,no_tone,", travel often leads to it improves efficiency significantly. will shape future developments.",", travel often leads to it improves efficiency significantly. will shape future developments.",0,", travel lead improve efficiency significantly . shape future development .",2023,8,5,0,6.230769230769231,1.0,0.07692307692307693,0.0,0.0,1.0,1.0,0.0,2.0,1.0,8.5,17.44500000000002,12.316666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,False
Health,78,11.0,4.84,0.18,Author_17,0.058,personal_tone,"health, I believe it improves efficiency significantly.","health, i believe it improves efficiency significantly.",0,"health , believe improve efficiency significantly .",2025,3,2,0,7.0,1.0,0.14285714285714285,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,6.35857142857148,14.111428571428572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Entertainment,113,14.0,2.77,0.37,Gpt-5-Base,0.129,no_tone,entertainment is associated with the community response has been overwhelmingly positive.,entertainment is associated with the community response has been overwhelmingly positive.,2,entertainment associate community response overwhelmingly positive .,2023,3,5,1,7.181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,18.736363636363638,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.0,0.0,True
Sports,91,12.0,2.77,-0.49,Claude-2,0.142,no_tone,sports and highlights that adoption increases with better education.,sports and highlights that adoption increases with better education.,1,sport highlight adoption increase well education .,2023,10,6,1,6.666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,28.50000000000003,11.520000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Education,82,12.0,4.79,-0.5,Llama-3-Small,0.06,no_tone,Researchstyle summary on education suggests users report a mixed set of outcomes.,researchstyle summary on education suggests users report a mixed set of outcomes.,0,researchstyle summary education suggest user report mixed set outcome .,2024,2,4,1,5.833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,32.504999999999995,11.706666666666667,0.08333333333333333,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False
Entertainment,90,10.0,3.22,-0.01,Claude-2,0.012,no_tone,Researchstyle summary on entertainment suggests adoption increases with better education.,researchstyle summary on entertainment suggests adoption increases with better education.,0,researchstyle summary entertainment suggest adoption increase well education .,2023,5,1,1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,18.990000000000006,0.1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True
Travel,215,30.5,3.25,0.72,Author_50,0.031,no_tone,", travel often leads to it requires more data for conclusive evidence. adoption increases with better education the results are promising but preliminary it requires more data for conclusive evidence",", travel often leads to it requires more data for conclusive evidence. adoption increases with better education the results are promising but preliminary it requires more data for conclusive evidence",0,", travel lead require datum conclusive evidence . adoption increase well education result promise preliminary require datum conclusive evidence",2024,5,6,0,5.666666666666667,0.8,0.03333333333333333,0.0,0.0,1.0,0.0,0.0,2.0,0.8,15.25,17.08301724137931,14.478793103448279,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.8275862068965517,3.0,0.0,False
Food,232,30.5,1.63,0.78,Author_61,0.266,personal_tone,food in my daytoday life and found that the results are promising but preliminary. costs can vary greatly depending on implementation users report a mixed set of outcomes users report a mixed set of outcomes,food in my daytoday life and found that the results are promising but preliminary. costs can vary greatly depending on implementation users report a mixed set of outcomes users report a mixed set of outcomes,0,food daytoday life find result promise preliminary . cost vary greatly depend implementation user report mixed set outcome user report mixed set outcome,2024,4,6,0,4.942857142857143,0.8,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.8,15.25,48.87821428571431,10.789285714285715,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.8235294117647058,3.5,0.0,False
Travel,67,9.0,4.21,0.52,Llama-3-Small,0.112,no_tone,A concise overview of travel it improves efficiency significantly.,a concise overview of travel it improves efficiency significantly.,0,concise overview travel improve efficiency significantly .,2023,2,0,1,6.444444444444445,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.30000000000001137,15.453333333333337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Science,87,12.0,3.08,-0.16,Bloomz-7B,0.018,no_tone,A concise overview of science the community response has been overwhelmingly positive.,a concise overview of science the community response has been overwhelmingly positive.,1,concise overview science community response overwhelmingly positive .,2023,7,1,1,6.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,11.355000000000018,14.656666666666666,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.0,0.0,0.0,False
Health,78,13.0,4.8,-0.01,Author_18,0.106,no_tone,My personal opinion on health is that privacy concerns remain a top challenge.,my personal opinion on health is that privacy concerns remain a top challenge.,0,personal opinion health privacy concern remain challenge .,2023,4,4,0,5.076923076923077,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,50.470769230769264,9.44923076923077,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,True
Finance,88,11.0,4.93,-0.54,Gpt-4O-Mini,0.102,no_tone,finance is associated with it improves efficiency significantly.,finance is associated with it improves efficiency significantly.,1,finance associate improve efficiency significantly .,2024,1,1,1,7.125,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,0.0,18.505,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,False
Sports,118,20.0,3.73,-0.45,Bloomz-7B,0.02,no_tone,sports shows there are tradeoffs to consider. I would love to hear others thoughts on this.,sports shows there are tradeoffs to consider. i would love to hear others thoughts on this.,1,sport show tradeoff consider . love hear thought .,2025,6,4,1,4.75,0.9375,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9375,10.0,92.965,2.280000000000001,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,1.0,0.0,False
Entertainment,103,14.0,3.5,0.44,Bloomz-7B,0.122,no_tone,entertainment is associated with it requires more data for conclusive evidence.,entertainment is associated with it requires more data for conclusive evidence.,1,entertainment associate require datum conclusive evidence .,2023,3,4,1,6.2727272727272725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,3.3972727272727354,15.518181818181823,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,True
Food,80,11.0,4.67,0.87,Bloomz-7B,0.057,no_tone,Researchstyle summary on food suggests privacy concerns remain a top challenge.,researchstyle summary on food suggests privacy concerns remain a top challenge.,0,researchstyle summary food suggest privacy concern remain challenge .,2023,9,5,1,6.2727272727272725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,34.160909090909115,11.22727272727273,0.09090909090909091,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True
Technology,85,12.0,3.54,-0.38,Bloomz-7B,0.113,no_tone,A concise overview of technology costs can vary greatly depending on implementation.,a concise overview of technology costs can vary greatly depending on implementation.,0,concise overview technology cost vary greatly depend implementation .,2024,1,6,1,6.083333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,11.355000000000018,14.656666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Travel,84,14.0,2.65,0.27,Author_47,0.092,personal_tone,"travel, I believe it can be optimized with simple heuristics.","travel, i believe it can be optimized with simple heuristics.",0,"travel , believe optimize simple heuristic .",2024,8,4,0,5.2,1.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,52.86500000000001,8.370000000000001,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,False
Finance,82,13.0,3.17,-0.03,Author_69,0.161,personal_tone,"finance, I believe privacy concerns remain a top challenge.","finance, i believe privacy concerns remain a top challenge.",0,"finance , believe privacy concern remain challenge .",2025,9,5,0,5.666666666666667,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,47.30000000000004,8.89777777777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Entertainment,194,24.0,2.8,0.86,Llama-3-Small,0.106,no_tone,entertainment shows it improves efficiency significantly. the community response has been overwhelmingly positive the community response has been overwhelmingly positive,entertainment shows it improves efficiency significantly. the community response has been overwhelmingly positive the community response has been overwhelmingly positive,2,entertainment show improve efficiency significantly . community response overwhelmingly positive community response overwhelmingly positive,2024,9,6,1,7.5,0.65,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.65,12.0,0.0,18.400000000000002,0.0,0.0,0.0,0.0,0.0,0.1,0.6842105263157895,4.0,0.0,True
Sports,122,19.0,4.5,0.21,Gpt-4O-Mini,0.03,no_tone,sports shows it improves efficiency significantly. I would love to hear others thoughts on this.,sports shows it improves efficiency significantly. i would love to hear others thoughts on this.,1,sport show improve efficiency significantly . love hear thought .,2024,1,2,1,5.466666666666667,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,9.5,63.86250000000001,6.215000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,False
Food,80,13.0,2.77,0.87,Author_83,0.316,no_tone,", food often leads to the results are promising but preliminary.",", food often leads to the results are promising but preliminary.",0,", food lead result promise preliminary .",2024,1,4,0,4.909090909090909,1.0,0.09090909090909091,0.0,0.0,1.0,0.0,0.0,1.0,1.0,13.0,44.405,9.55,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,False
Travel,75,13.0,4.87,-0.01,Claude-2,0.005,no_tone,travel shows users report a mixed set of outcomes.,travel shows users report a mixed set of outcomes.,1,travel show user report mixed set outcome .,2025,2,4,1,4.666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,75.50000000000003,4.964444444444446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Food,130,19.0,3.99,0.18,Gpt-5-Base,0.001,no_tone,A concise overview of food the community response has been overwhelmingly positive. it requires more data for conclusive evidence,a concise overview of food the community response has been overwhelmingly positive. it requires more data for conclusive evidence,1,concise overview food community response overwhelmingly positive . require datum conclusive evidence,2025,6,0,1,5.842105263157895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.5,23.53986842105263,12.336052631578948,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,1.0,2.5,0.0,False
Lifestyle,117,18.0,4.47,-0.27,Bloomz-7B,0.12,no_tone,A concise overview of lifestyle it improves efficiency significantly. I would love to hear others thoughts on this.,a concise overview of lifestyle it improves efficiency significantly. i would love to hear others thoughts on this.,0,concise overview lifestyle improve efficiency significantly . love hear thought .,2024,12,3,1,5.444444444444445,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,9.0,52.00000000000003,8.242222222222225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Food,88,13.0,2.81,-0.47,Claude-2,0.067,no_tone,food and highlights that privacy concerns remain a top challenge.,food and highlights that privacy concerns remain a top challenge.,1,food highlight privacy concern remain challenge .,2023,6,2,1,5.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,61.32500000000002,7.190000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Health,82,13.0,1.85,0.16,Author_79,0.28,no_tone,", health often leads to the results are promising but preliminary.",", health often leads to the results are promising but preliminary.",0,", health lead result promise preliminary .",2025,3,5,0,5.090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.0,0.0,1.0,1.0,13.0,44.405,9.55,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,False
Entertainment,107,16.0,4.83,-0.49,Author_10,0.056,personal_tone,entertainment in my daytoday life and found that there are tradeoffs to consider.,entertainment in my daytoday life and found that there are tradeoffs to consider.,0,entertainment daytoday life find tradeoff consider .,2023,6,5,0,5.3076923076923075,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.0,56.97846153846157,8.541538461538462,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,True
Technology,137,23.0,1.76,0.34,Author_73,0.052,personal_tone,", technology often leads to it requires more data for conclusive evidence. I would love to hear others thoughts on this.",", technology often leads to it requires more data for conclusive evidence. i would love to hear others thoughts on this.",0,", technology lead require datum conclusive evidence . love hear thought .",2023,2,4,0,4.761904761904762,0.9523809523809523,0.047619047619047616,0.0,0.0,1.0,0.0,1.0,2.0,0.9523809523809523,11.5,61.32500000000002,7.190000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,False
Finance,91,13.0,3.4,-0.06,Bloomz-7B,0.051,no_tone,finance and highlights that privacy concerns remain a top challenge.,finance and highlights that privacy concerns remain a top challenge.,1,finance highlight privacy concern remain challenge .,2023,7,1,1,5.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,52.86500000000001,8.370000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Finance,169,22.0,2.98,-0.28,Author_52,0.25,personal_tone,"After trying several approaches related to finance, I noticed the community response has been overwhelmingly positive. will shape future developments.","after trying several approaches related to finance, i noticed the community response has been overwhelmingly positive. will shape future developments.",1,"try approach relate finance , notice community response overwhelmingly positive . shape future development .",2024,7,5,0,6.55,1.0,0.05,0.0,0.0,0.0,0.0,1.0,2.0,1.0,11.0,14.795000000000016,13.680000000000003,0.0,0.0,0.0,0.0,0.0,0.05,1.0,6.0,0.0,False
Entertainment,137,18.0,4.54,0.48,Bloomz-7B,0.083,no_tone,Researchstyle summary on entertainment suggests users report a mixed set of outcomes. will shape future developments.,researchstyle summary on entertainment suggests users report a mixed set of outcomes. will shape future developments.,0,researchstyle summary entertainment suggest user report mixed set outcome . shape future development .,2025,4,3,1,6.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,34.80250000000001,10.392500000000002,0.0625,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,True
Science,91,13.0,3.86,0.89,Bloomz-7B,0.114,no_tone,science and highlights that privacy concerns remain a top challenge.,science and highlights that privacy concerns remain a top challenge.,1,science highlight privacy concern remain challenge .,2024,7,1,1,5.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,52.86500000000001,8.370000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Finance,95,14.0,2.07,-0.07,Author_53,0.262,personal_tone,"After trying several approaches related to finance, I noticed there are tradeoffs to consider.","after trying several approaches related to finance, i noticed there are tradeoffs to consider.",0,"try approach relate finance , notice tradeoff consider .",2023,8,0,0,5.785714285714286,0.9285714285714286,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,1.0,0.9285714285714286,14.0,35.5107142857143,11.784285714285716,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,False
Travel,175,25.0,3.15,0.62,Gpt-5-Base,0.01,no_tone,travel and highlights that users report a mixed set of outcomes. costs can vary greatly depending on implementation it improves efficiency significantly,travel and highlights that users report a mixed set of outcomes. costs can vary greatly depending on implementation it improves efficiency significantly,1,travel highlight user report mixed set outcome . cost vary greatly depend implementation improve efficiency significantly,2023,7,6,1,5.954545454545454,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,12.5,30.31545454545457,11.763636363636365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Food,85,14.0,3.18,-0.02,Gpt-5-Base,0.12,no_tone,food and highlights that users report a mixed set of outcomes.,food and highlights that users report a mixed set of outcomes.,1,food highlight user report mixed set outcome .,2025,5,2,1,4.7272727272727275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,80.30636363636367,4.790909090909089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
Finance,86,12.0,3.34,0.64,Llama-3-Small,0.106,no_tone,Researchstyle summary on finance suggests it can be optimized with simple heuristics.,researchstyle summary on finance suggests it can be optimized with simple heuristics.,0,researchstyle summary finance suggest optimize simple heuristic .,2024,6,5,1,6.166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,32.504999999999995,11.706666666666667,0.08333333333333333,1.0,0.0,0.0,1.0,0.08333333333333333,1.0,0.0,0.0,False
